store,documents_indexed,embedding_model,index_creation_s,average_latency_ms,stdev_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,query_count,recorded_at
Chroma,6,all-MiniLM-L6-v2,0.302457,0.942,0.076,0.712,0.934,1.075,1.137,1.176,210,2026-08-13T17:39:37.996514+00:00
FAISS,6,all-MiniLM-L6-v2,0.000630,0.035,0.005,0.028,0.034,0.040,0.049,0.085,210,2026-08-13T17:39:50.689062+00:00
Qdrant,6,all-MiniLM-L6-v2,0.008445,0.646,0.087,0.452,0.633,0.787,0.861,0.923,210,2026-08-13T17:40:03.316313+00:00
Chroma,100,all-MiniLM-L6-v2,0.289389,1.043,0.096,0.795,1.027,1.216,1.300,1.500,210,2026-08-13T17:40:16.635279+00:00
FAISS,100,all-MiniLM-L6-v2,0.000120,0.055,0.015,0.039,0.049,0.085,0.092,0.112,210,2026-08-13T17:40:35.212439+00:00
Qdrant,100,all-MiniLM-L6-v2,0.032980,0.757,0.130,0.518,0.771,0.955,0.984,1.265,210,2026-08-13T17:40:48.058325+00:00
Chroma,1000,all-MiniLM-L6-v2,0.364737,1.186,0.088,0.909,1.186,1.332,1.390,1.460,210,2026-08-13T17:41:03.196503+00:00
FAISS,1000,all-MiniLM-L6-v2,0.000588,0.188,0.113,0.107,0.145,0.464,0.506,0.522,210,2026-08-13T17:41:17.661925+00:00
Qdrant,1000,all-MiniLM-L6-v2,0.278777,2.729,0.431,2.068,2.632,3.396,4.046,6.349,210,2026-08-13T17:41:33.955839+00:00
